"title","rating","summary","relDate"
"Hubie Halloween (2020)","5.2","Despite his devotion to his hometown of Salem (and its Halloween celebration), Hubie Dubois is a figure of mockery for kids and adults alike. But this year, something is going bump in the night, and it's up to Hubie to save Halloween.","7 October 2020 (USA)"
"Enola Holmes (2020)","6.6","When Enola Holmes-Sherlock's teen sister-discovers her mother missing, she sets off to find her, becoming a super-sleuth in her own right as she outwits her famous brother and unravels a dangerous conspiracy around a mysterious young Lord.","23 September 2020 (USA)"
"The Witches (2020)","","Based on Roald Dahl's 1983 classic book 'The Witches', the story tells the scary, funny and imaginative tale of a seven year old boy who has a run in with some real life witches!","22 October 2020 (USA)"
"The 355 (2021)","","When a top-secret weapon falls into mercenary hands, a wild card CIA agent joins forces with three international agents on a lethal mission to retrieve it, while staying a step ahead of a mysterious woman who's tracking their every move.","15 January 2021 (USA)"
"Tenet (2020)","7.8","Armed with only one word, Tenet, and fighting for the survival of the entire world, a Protagonist journeys through a twilight world of international espionage on a mission that will unfold in something beyond real time.","3 September 2020 (USA)"
"Free Guy (2020)","","A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","11 December 2020 (USA)"
"The Devil All the Time (2020)","7.1","Sinister characters converge around a young man devoted to protecting those he loves in a postwar backwoods town teeming with corruption and brutality.","16 September 2020 (USA)"
"Hocus Pocus (1993)","6.9","A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.","16 July 1993 (USA)"
"American Pie Presents: Girls' Rules (2020)","3.7","It's Senior year at East Great Falls. Annie, Kayla, Michelle, and Stephanie decide to harness their girl power and band together to get what they want their last year of high school.","6 October 2020 (USA)"
"The Boys in the Band (2020)","6.8","At a birthday party in 1968 New York, a surprise guest and a drunken game leave seven gay friends reckoning with unspoken feelings and buried truths.","30 September 2020 (USA)"
"Mank (2020)","","Follows screenwriter Herman J. Mankiewicz's tumultuous development of Orson Welles' iconic masterpiece Citizen Kane (1941).","4 December 2020 (USA)"
"Borat Subsequent Moviefilm (2020)","","Follow-up film to the 2006 comedy centering on the real-life adventures of a fictional Kazakh television journalist named Borat.","23 October 2020 (USA)"
"After We Collided (2020)","5.3","Based on the 2014 romance novel of the same name, this follows the love life of two young adults.","23 October 2020 (USA)"
"2067 (2020)","4.8","One man's journey to the future to save a dying world.","2 October 2020 (USA)"
"The Doorman (2020)","4.3","A woman returns from combat and befriends a family in NYC. A gang of thieves plot to take the family's valuables, and she is all that stands between them and their lives.","9 October 2020 (USA)"
"American Murder: The Family Next Door (2020)","7.2","In 2018, 38-year-old Shanann Watts and her two youngest daughters disappeared in Colorado. With the heartbreaking details emerging, the family's story made headlines around the world.","30 September 2020 (USA)"
"The Witches (1990)","6.8","A young boy stumbles onto a witch convention and must stop them, even after he has been turned into a mouse.","24 August 1990 (USA)"
"Vampires vs. the Bronx (2020)","5.4","A group of young friends from the Bronx fight to save their neighborhood from gentrification...and vampires.","2 October 2020 (USA)"
"The Outpost (2020)","6.8","A small team of U.S. soldiers battle against hundreds of Taliban fighters in Afghanistan.","3 July 2020 (USA)"
"Dune (2021)","","Feature adaptation of Frank Herbert's science fiction novel, about the son of a noble family entrusted with the protection of the most valuable asset and most vital element in the galaxy.","1 October 2021 (USA)"
"The Social Dilemma (2020)","7.7","Explores the dangerous human impact of social networking, with tech experts sounding the alarm on their own creations.","9 September 2020 (USA)"
"One Flew Over the Cuckoo's Nest (1975)","8.7","A criminal pleads insanity and is admitted to a mental institution, where he rebels against the oppressive nurse and rallies up the scared patients.","19 November 1975 (USA)"
"The Gentlemen (2019)","7.9","An American expat tries to sell off his highly profitable marijuana empire in London, triggering plots, schemes, bribery and blackmail in an attempt to steal his domain out from under him.","24 January 2020 (USA)"
"Murder on the Orient Express (2017)","6.5","When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.","10 November 2017 (USA)"
"365 Days (2020)","3.3","Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give her 365 days to fall in love with him.","7 June 2020 (India)"
"The Addams Family (1991)","6.9","Con artists plan to fleece an eccentric family using an accomplice who claims to be their long-lost uncle.","22 November 1991 (USA)"
"Mulan (2020)","5.4","A young Chinese maiden disguises herself as a male warrior in order to save her father.","4 September 2020 (USA)"
"The Karate Kid (1984)","7.3","A martial arts master agrees to teach karate to a bullied teenager.","22 June 1984 (USA)"
"The Lie (2018)","5.7","A father and daughter are on their way to dance camp when they spot the girl's best friend on the side of the road. When they stop to offer the friend a ride, their good intentions soon result in terrible consequences.","6 October 2020 (USA)"
"Beetlejuice (1988)","7.5","The spirits of a deceased couple are harassed by an unbearable family that has moved into their home, and hire a malicious spirit to drive them out.","30 March 1988 (USA)"
"I'm Thinking of Ending Things (2020)","6.7","Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.","4 September 2020 (USA)"
"Knives Out (2019)","7.9","A detective investigates the death of a patriarch of an eccentric, combative family.","27 November 2019 (USA)"
"No Time to Die (2021)","","James Bond has left active service. His peace is short-lived when Felix Leiter, an old friend from the CIA, turns up asking for help, leading Bond onto the trail of a mysterious villain armed with dangerous new technology.","2 April 2021 (USA)"
"News of the World (2020)","","A Civil War veteran agrees to deliver a girl, taken by the Kiowa people years ago, to her aunt and uncle, against her will. They travel hundreds of miles and face grave dangers as they search for a place that either can call home.","25 December 2020 (USA)"
"Ava (2020)","5.3","Ava is a deadly assassin who works for a black ops organization, traveling the globe specializing in high profile hits. When a job goes dangerously wrong she is forced to fight for her own survival.","25 September 2020 (USA)"
"The Invisible Man (2020)","7.1","When Cecilia's abusive ex takes his own life and leaves her his fortune, she suspects his death was a hoax. As a series of coincidences turn lethal, Cecilia works to prove that she is being hunted by someone nobody can see.","28 February 2020 (USA)"
"Black Box (2020)","6.0","After losing his wife and his memory in a car accident, a single father undergoes an agonizing experimental treatment that causes him to question who he really is.","6 October 2020 (USA)"
"The Trial of the Chicago 7 (2020)","8.0","The story of 7 people on trial stemming from various charges surrounding the uprising at the 1968 Democratic National Convention in Chicago, Illinois.","16 October 2020 (USA)"
"Cuties (2020)","2.9","Amy, an 11-year-old girl, joins a group of dancers named ""the cuties"" at school, and rapidly grows aware of her burgeoning femininity - upsetting her mother and her values in the process.","9 September 2020 (USA)"
"Harry Potter and the Sorcerer's Stone (2001)","7.6","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","16 November 2001 (USA)"
"Birds of Prey: And the Fantabulous Emancipation of One Harley Quinn (2020)","6.1","After splitting with the Joker, Harley Quinn joins superheroes Black Canary, Huntress and Renee Montoya to save a young girl from an evil crime lord.","7 February 2020 (USA)"
"Jingle Jangle: A Christmas Journey (2020)","","An imaginary world comes to life in a holiday tale of an eccentric toymaker, his adventurous granddaughter, and a magical invention that has the power to change their lives forever.","13 November 2020 (USA)"
"Antebellum (2020)","5.5","Successful author Veronica Henley finds herself trapped in a horrifying reality and must uncover the mind-bending mystery before it's too late.","18 September 2020 (USA)"
"Death of Me (2020)","4.3","A vacationing couple must discover the mystery behind a strange video that shows one of them killing the other.","2 October 2020 (USA)"
"The Babysitter: Killer Queen (2020)","5.8","Two years after Cole survived a satanic blood cult, he's living another nightmare: high school. And the demons from his past? Still making his life hell.","10 September 2020 (USA)"
"Serious Men (2020)","7.0","Tormented with his 'under-privileged' societal status, a father capitalizes on his son's newfound fame as a boy-genius. Little does he realize that the secret he harbors will destroy the very thing he loves the most.","2 October 2020 (USA)"
"Addams Family Values (1993)","6.7","The Addams Family try to rescue their beloved Uncle Fester from his gold-digging new love, a black widow named Debbie.","19 November 1993 (USA)"
"The War with Grandpa (2020)","5.5","Upset that he has to share the room he loves with his grandfather, Peter decides to declare war in an attempt to get it back.","9 October 2020 (USA)"
"David Attenborough: A Life on Our Planet (2020)","9.2","One man has seen more of the natural world than any other. This unique feature documentary is his witness statement.","4 October 2020 (USA)"
"Jurassic World: Dominion (2022)","","Plot kept under wraps.","10 June 2022 (USA)"
"Joker (2019)","8.5","In Gotham City, mentally troubled comedian Arthur Fleck is disregarded and mistreated by society. He then embarks on a downward spiral of revolution and bloody crime. This path brings him face-to-face with his alter-ego: the Joker.","4 October 2019 (USA)"
"Save Yourselves! (2020)","5.4","A young Brooklyn couple heads to an upstate cabin to unplug from their phones and reconnect with each other. Blissfully unaware of their surroundings, they are left to their own devices as the planet falls under attack.","2 October 2020 (USA)"
